DATE,SINGAPORE - SINGAPORE DOLLAR/US$,CHINA - YUAN/US$
2000-01-03,1.6563,8.2798
2000-01-04,1.6535,8.2799
2000-01-05,1.656,8.2798
2000-01-06,1.6655,8.2797
2000-01-07,1.6625,8.2794
2000-01-10,1.6618,8.2794
2000-01-11,1.669,8.2795
2000-01-12,1.669,8.2796
2000-01-13,1.67,8.2798
2000-01-14,1.6752,8.2797
2000-01-17,ND,ND
2000-01-18,1.6735,8.2793
2000-01-19,1.6753,8.2797
2000-01-20,1.6765,8.2794
2000-01-21,1.681,8.2795
2000-01-24,1.6825,8.2789
2000-01-25,1.6867,8.2786
2000-01-26,1.695,8.2782
2000-01-27,1.693,8.2783
2000-01-28,1.71,8.2781
2000-01-31,1.701,8.2777
2000-02-01,1.699,8.2774
2000-02-02,1.6985,8.2773
2000-02-03,1.6925,8.2781
2000-02-04,1.693,8.2788
2000-02-07,1.6958,8.2788
2000-02-08,1.6968,8.2788
2000-02-09,1.6918,8.2788
2000-02-10,1.6929,8.2788
2000-02-11,1.6947,8.2788
2000-02-14,1.6975,8.2779
2000-02-15,1.696,8.2777
2000-02-16,1.7033,8.2777
2000-02-17,1.706,8.2772
2000-02-18,1.7058,8.2772
2000-02-21,ND,ND
2000-02-22,1.7085,8.2773
2000-02-23,1.714,8.278
2000-02-24,1.7165,8.278
2000-02-25,1.711,8.2786
2000-02-28,1.7185,8.2786
2000-02-29,1.7237,8.2786
2000-03-01,1.7182,8.2786
2000-03-02,1.7214,8.2787
2000-03-03,1.7253,8.2789
2000-03-06,1.7252,8.2785
2000-03-07,1.7199,8.2784
2000-03-08,1.714,8.2786
2000-03-09,1.708,8.2787
2000-03-10,1.7035,8.2785
2000-03-13,1.7068,8.2781
2000-03-14,1.7095,8.278
2000-03-15,1.715,8.2778
2000-03-16,1.712,8.2777
2000-03-17,1.7161,8.2785
2000-03-20,1.72,8.2786
2000-03-21,1.7188,8.2783
2000-03-22,1.7125,8.2783
2000-03-23,1.7115,8.2787
2000-03-24,1.716,8.2789
2000-03-27,1.716,8.2792
2000-03-28,1.715,8.2795
2000-03-29,1.7168,8.2789
2000-03-30,1.7194,8.2788
2000-03-31,1.712,8.2787
2000-04-03,1.7173,8.2786
2000-04-04,1.7183,8.2791
2000-04-05,1.716,8.2795
2000-04-06,1.715,8.2795
2000-04-07,1.7162,8.2795
2000-04-10,1.719,8.2798
2000-04-11,1.72,8.2791
2000-04-12,1.7193,8.2796
2000-04-13,1.716,8.2794
2000-04-14,1.7078,8.2794
2000-04-17,1.7069,8.2794
2000-04-18,1.699,8.279
2000-04-19,1.6992,8.2793
2000-04-20,1.6978,8.2791
2000-04-21,1.699,8.2785
2000-04-24,1.702,8.2786
2000-04-25,1.704,8.2791
2000-04-26,1.7055,8.2795
2000-04-27,1.707,8.2798
2000-04-28,1.7065,8.2799
2000-05-01,1.709,8.2799
2000-05-02,1.7178,8.2799
2000-05-03,1.7215,8.2799
2000-05-04,1.722,8.2799
2000-05-05,1.7222,8.2799
2000-05-08,1.7235,8.2798
2000-05-09,1.7295,8.279
2000-05-10,1.729,8.2785
2000-05-11,1.7263,8.2782
2000-05-12,1.7278,8.2778
2000-05-15,1.7335,8.2777
2000-05-16,1.7325,8.2772
2000-05-17,1.734,8.2768
2000-05-18,1.734,8.2773
2000-05-19,1.7275,8.2768
2000-05-22,1.7317,8.277
2000-05-23,1.735,8.2768
2000-05-24,1.737,8.2769
2000-05-25,1.7328,8.2773
2000-05-26,1.7343,8.2771
2000-05-29,ND,ND
2000-05-30,1.7332,8.2772
2000-05-31,1.7345,8.2773
2000-06-01,1.732,8.2771
2000-06-02,1.724,8.2771
2000-06-05,1.7205,8.277
2000-06-06,1.7205,8.2773
2000-06-07,1.722,8.2773
2000-06-08,1.7205,8.2775
2000-06-09,1.723,8.2772
2000-06-12,1.7225,8.2771
2000-06-13,1.7213,8.277
2000-06-14,1.7215,8.2768
2000-06-15,1.7245,8.2768
2000-06-16,1.7258,8.2768
2000-06-19,1.7322,8.2768
2000-06-20,1.733,8.2772
2000-06-21,1.734,8.2772
2000-06-22,1.7345,8.2771
2000-06-23,1.7325,8.2769
2000-06-26,1.7341,8.2773
2000-06-27,1.7343,8.2774
2000-06-28,1.735,8.2775
2000-06-29,1.7345,8.278
2000-06-30,1.7275,8.2782
2000-07-03,1.7327,8.2786
2000-07-04,ND,ND
